,State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
124,Delhi,North West,202776.0,31497.872000000003,3041.64,43326.471999999994,2877825.0,329990.6,31656.075,824017.2250000001
125,Delhi,South,8754.0,1205.134,134.228,2643.7079999999996,2184435.0,220627.935,21116.204999999998,640767.6
126,Delhi,South West,123537.0,14618.545,1358.9070000000002,36113.983,1819509.0,168001.33099999998,15769.078000000001,553130.736
127,Delhi,West,5427.0,873.747,32.562000000000005,1575.639,2099109.0,201514.46400000004,19591.683999999997,629032.997
128,Goa,North Goa,347577.0,26647.57,2085.4620000000004,79595.133,627690.0,41009.08,2301.53,178473.19
129,Goa,South Goa,265860.0,20737.079999999998,1772.4,65401.56,488619.0,39741.012,2443.095,138767.796
130,Gujarat,Ahmadabad,1059507.0,143033.445,7063.38,116192.60099999998,5536149.0,441046.53699999995,11072.298,1699597.7429999998
131,Gujarat,Amreli,941142.0,90663.34599999999,5333.138000000001,163444.994,350697.0,28874.053,1168.99,91648.816
132,Gujarat,Anand,1239234.0,170601.21399999998,8674.638,170601.21399999998,626727.0,54525.249,2715.8170000000005,173394.47
133,Gujarat,Banas Kantha,2000319.0,258707.92399999997,26670.920000000002,114018.183,412272.0,32706.912000000004,2061.36,107190.72
134,Gujarat,Bharuch,902031.0,114858.614,4510.155,137710.066,543957.0,36626.437999999995,1087.914,162099.18600000002
135,Gujarat,Bhavnagar,1161753.0,128567.33200000001,5808.764999999999,124307.571,1070478.0,91704.282,3925.0860000000002,291170.016
136,Gujarat,Dohad,971091.0,192599.715,6797.637000000001,19745.517,158421.0,12462.452000000001,580.8770000000001,37915.426
137,Gujarat,Gandhinagar,712872.0,86970.38399999999,5465.352,101703.072,586902.0,47734.695999999996,2543.242,158072.272
138,Gujarat,Jamnagar,1041474.0,104494.55799999999,5554.528,120810.984,897501.0,68808.41,2991.67,250701.946
139,Gujarat,Junagadh,1467711.0,159980.499,8317.029,225049.02000000002,862518.0,68713.934,4025.0839999999994,246392.642
140,Gujarat,Kachchh,1464879.0,124026.422,5371.223000000001,240240.15600000002,752946.0,53710.148,2509.82,220613.178
141,Gujarat,Kheda,1384437.0,194744.138,11536.975,117215.666,481641.0,40136.75,2408.205,126029.395
142,Gujarat,Mahesana,1428015.0,156129.63999999998,12376.130000000001,211346.22,551214.0,40054.884,2388.594,156177.3
143,Gujarat,Narmada,414363.0,60635.119,1795.573,22099.36,66744.0,7497.576000000001,422.712,16619.256
144,Gujarat,Navsari,803217.0,92369.95499999999,3748.3459999999995,119143.855,424251.0,28283.4,1272.7530000000002,121194.36899999999
145,Gujarat,Panch Mahals,1390089.0,233534.952,12047.438000000002,78771.71,312714.0,25434.072,1146.6180000000002,87664.158
146,Gujarat,Patan,904449.0,112453.159,11456.354,108232.397,307965.0,26177.025,1539.825,84587.72
147,Gujarat,Porbandar,288045.0,29188.559999999998,2208.345,37541.865,262671.0,21539.022,1138.2410000000002,67769.118
